Computing W(3,4)
    Generating all certificates of length 5
    Found 76 initial certificates: [20001, 20002, 20010, 20011, 20012, 20020, 20021, 20022, 20100, 20101, 20102, 20110, 20111, 20112, 20120, 20121, 20122, 20200, 20201, 20202, 20210, 20211, 20212, 20220, 20221, 20222, 21000, 21001, 21002, 21010, 21011, 21012, 21020, 21021, 21022, 21100, 21101, 21102, 21110, 21112, 21120, 21121, 21122, 21200, 21201, 21202, 21210, 21211, 21212, 21220, 21221, 21222, 22000, 22001, 22002, 22010, 22011, 22012, 22020, 22021, 22022, 22100, 22101, 22102, 22110, 22111, 22112, 22120, 22121, 22122, 22200, 22201, 22202, 22210, 22211, 22212]
    W(3,4) > 6 in 0s
    W(3,4) > 7 in 0s
    W(3,4) > 8 in 0s
    W(3,4) > 9 in 0s
    W(3,4) > 10 in 0s
    W(3,4) > 11 in 0s
    W(3,4) > 12 in 0s
    W(3,4) > 13 in 0s
    W(3,4) > 14 in 0s
    W(3,4) > 15 in 0s
    W(3,4) > 16 in 0s
    W(3,4) > 17 in 0s
    W(3,4) > 18 in 0s
    W(3,4) > 19 in 0s
    W(3,4) > 20 in 0s
    W(3,4) > 21 in 0s
    W(3,4) > 22 in 0s
    W(3,4) > 23 in 0s
    W(3,4) > 24 in 0s
    W(3,4) > 25 in 0s
    W(3,4) > 26 in 0s
    W(3,4) > 27 in 0s
    W(3,4) > 28 in 0s
    W(3,4) > 29 in 0s
    W(3,4) > 30 in 0s
    W(3,4) > 31 in 0s
    W(3,4) > 32 in 0s
    W(3,4) > 33 in 0s
    W(3,4) > 34 in 0s
    W(3,4) > 35 in 0s
    W(3,4) > 36 in 0s
    W(3,4) > 37 in 0s
    W(3,4) > 38 in 0s
    W(3,4) > 39 in 0s
    W(3,4) > 40 in 0s
    W(3,4) > 41 in 0s
    W(3,4) > 42 in 0s
    W(3,4) > 43 in 0s
    W(3,4) > 44 in 0s
    W(3,4) > 45 in 0s
    W(3,4) > 46 in 0s
    W(3,4) > 47 in 0s
    W(3,4) > 48 in 0s
    W(3,4) > 49 in 0s
    W(3,4) > 50 in 0s
    W(3,4) > 51 in 0s
    W(3,4) > 52 in 0s
    W(3,4) > 53 in 0s
    W(3,4) > 54 in 0s
    W(3,4) > 55 in 0s
    W(3,4) > 56 in 0s
    W(3,4) > 57 in 0s
    W(3,4) > 58 in 0s
    W(3,4) > 59 in 0s
    W(3,4) > 60 in 0s
    W(3,4) > 61 in 0s
    W(3,4) > 62 in 0s
    W(3,4) > 63 in 0s
    W(3,4) > 64 in 0s
    W(3,4) > 65 in 0s
    W(3,4) > 66 in 0s
    W(3,4) > 67 in 0s
    W(3,4) > 68 in 0s
    W(3,4) > 69 in 0s
    W(3,4) > 70 in 0s
    W(3,4) > 71 in 0s
    W(3,4) > 72 in 0s
    W(3,4) > 73 in 0s
    W(3,4) > 74 in 0s
    W(3,4) > 75 in 0s
    W(3,4) > 76 in 0s
    W(3,4) > 77 in 0s
    W(3,4) > 78 in 0s
    W(3,4) > 79 in 0s
    W(3,4) > 80 in 0s
    W(3,4) > 81 in 0s
    W(3,4) > 82 in 0s
    W(3,4) > 83 in 0s
    W(3,4) > 84 in 0s
    W(3,4) > 85 in 0s
    W(3,4) > 86 in 0s
    W(3,4) > 87 in 0s
    W(3,4) > 88 in 0s
    W(3,4) > 89 in 0s
    W(3,4) > 90 in 0s
    W(3,4) > 91 in 0s
    W(3,4) > 92 in 0s
    W(3,4) > 93 in 0s
    W(3,4) > 94 in 0s
    W(3,4) > 95 in 0s
    W(3,4) > 96 in 0s
    W(3,4) > 97 in 0s
    W(3,4) > 98 in 0s
    W(3,4) > 99 in 0s
    W(3,4) > 100 in 0s
    W(3,4) > 101 in 0s
    W(3,4) > 102 in 0s
    W(3,4) > 103 in 0s
    W(3,4) > 104 in 0s
    W(3,4) > 105 in 0s
    W(3,4) > 106 in 0s
    W(3,4) > 107 in 0s
    W(3,4) > 108 in 0s
    W(3,4) > 109 in 0s
    W(3,4) > 110 in 2s
    W(3,4) > 111 in 2s
    W(3,4) > 112 in 2s
    W(3,4) > 113 in 2s
    W(3,4) > 114 in 2s
    W(3,4) > 115 in 2s
    W(3,4) > 116 in 2s
    W(3,4) > 117 in 8s
    W(3,4) > 118 in 8s
    W(3,4) > 119 in 1m 11s
    W(3,4) > 120 in 1m 11s
    W(3,4) > 121 in 1m 11s
    W(3,4) > 122 in 1m 11s
    W(3,4) > 123 in 1m 11s
    W(3,4) > 124 in 1m 11s
    W(3,4) > 125 in 1m 11s
    W(3,4) > 126 in 1m 11s
    W(3,4) > 127 in 1m 11s
    W(3,4) > 128 in 1m 11s
    W(3,4) > 129 in 1m 11s
    W(3,4) > 130 in 4m 1s
    W(3,4) > 131 in 21m 1s
    W(3,4) > 132 in 21m 1s
    W(3,4) > 133 in 40m 12s
    W(3,4) > 134 in 40m 12s
    W(3,4) > 135 in 40m 12s
    W(3,4) > 136 in 40m 12s
    W(3,4) > 137 in 40m 12s
    W(3,4) > 138 in 40m 12s
    W(3,4) > 139 in 7h 22m 20s
